id_chave_grupo_vs_tipo_de_veiculo_n_to_n	nome_grupo_vs_tipo_de_veiculo_n_to_n	nome_grupo_de_token	id_grupo_de_token	nome_tipo_de_veiculo	id_tipo_de_veiculo	time_stamp
1	<publicacoes_em_eventos>[conferência]	publicacoes_em_eventos	2	conferência	1	2024-01-02 13:41:24.227359
2	<publicacoes_em_eventos>[congresso]	publicacoes_em_eventos	2	congresso	2	2024-01-02 13:41:24.227359
3	<eventos>[convenção]	eventos	11	convenção	3	2024-01-02 13:41:24.227359
4	<eventos>[evento]	eventos	11	evento	4	2024-01-02 13:41:24.227359
5	<eventos>[extensão]	eventos	11	extensão	5	2024-01-02 13:41:24.227359
6	<eventos>[fórum]	eventos	11	fórum	6	2024-01-02 13:41:24.227359
7	<eventos>[oficina]	eventos	11	oficina	7	2024-01-02 13:41:24.227359
8	<publicacoes_em_periodicos>[periódico]	publicacoes_em_periodicos	1	periódico	8	2024-01-02 13:41:24.227359
9	<editoracoes>[produção editorial]	editoracoes	15	produção editorial	9	2024-01-02 13:41:24.227359
10	<propriedades_intelectuais>[INPI]	propriedades_intelectuais	6	INPI	10	2024-01-02 13:41:24.227359
11	<documentos>[SEI]	documentos	5	SEI	11	2024-01-02 13:41:24.227359
12	<redes_sociais>[Youtube]	redes_sociais	14	Youtube	12	2024-01-02 13:41:24.227359
13	<redes_sociais>[X]	redes_sociais	14	X	13	2024-01-02 13:41:24.227359
14	<redes_sociais>[Facebook]	redes_sociais	14	Facebook	14	2024-01-02 13:41:24.227359
15	<redes_sociais>[Instagram]	redes_sociais	14	Instagram	15	2024-01-02 13:41:24.227359
16	<redes_sociais>[SouGov]	redes_sociais	14	SouGov	16	2024-01-02 13:41:24.227359
17	<redes_sociais>[TikTok]	redes_sociais	14	TikTok	17	2024-01-02 13:41:24.227359
18	<redes_sociais>[Kawai]	redes_sociais	14	Kawai	18	2024-01-02 13:41:24.227359
19	<redes_sociais>[WhatsApp]	redes_sociais	14	WhatsApp	19	2024-01-02 13:41:24.227359
20	<redes_sociais>[SMS]	redes_sociais	14	SMS	20	2024-01-02 13:41:24.227359
21	<redes_sociais>[Telegram]	redes_sociais	14	Telegram	21	2024-01-02 13:41:24.227359
22	<imprensa>[jornal]	imprensa	12	jornal	22	2024-01-02 13:41:24.227359
23	<imprensa>[revista de notícias]	imprensa	12	revista de notícias	23	2024-01-02 13:41:24.227359
24	<publicacoes_em_periodicos>[revista científica]	publicacoes_em_periodicos	1	revista científica	24	2024-01-02 13:41:24.227359
25	<imprensa>[telejornal]	imprensa	12	telejornal	25	2024-01-02 13:41:24.227359
26	<formacoes>[universidade]	formacoes	10	universidade	26	2024-01-02 13:41:24.227359
27	<formacoes>[faculdade]	formacoes	10	faculdade	27	2024-01-02 13:41:24.227359
28	<formacoes>[escola]	formacoes	10	escola	28	2024-01-02 13:41:24.227359
29	<formacoes>[EAD]	formacoes	10	EAD	29	2024-01-02 13:41:24.227359
30	<orientacoes>[banca]	orientacoes	7	banca	30	2024-01-02 13:41:24.227359
31	<orientacoes>[comissão examinadora]	orientacoes	7	comissão examinadora	31	2024-01-02 13:41:24.227359
32	<orientacoes>[encerrado]	orientacoes	7	encerrado	32	2024-01-02 13:41:24.227359
33	<orientacoes>[encerrada]	orientacoes	7	encerrada	33	2024-01-02 13:41:24.227359
34	<orientacoes>[em andamento]	orientacoes	7	em andamento	34	2024-01-02 13:41:24.227359
35	<servico_publico>[comitê]	servico_publico	3	comitê	35	2024-01-02 13:41:24.227359
36	<servico_publico>[comissão]	servico_publico	3	comissão	36	2024-01-02 13:41:24.227359
37	<servico_publico>[conselho]	servico_publico	3	conselho	37	2024-01-02 13:41:24.227359
vai inserir um novos grupos para tokens com grupos ja definidos
vai inserir um novos grupos para tokens com grupos ja definidos
id_chave_grupo_vs_tipo_de_veiculo_n_to_n	nome_grupo_vs_tipo_de_veiculo_n_to_n	nome_grupo_de_token	id_grupo_de_token	nome_tipo_de_veiculo	id_tipo_de_veiculo	time_stamp
1	<publicacoes_em_eventos>[conferência]	publicacoes_em_eventos	2	conferência	1	2024-01-02 13:41:24.227359
2	<publicacoes_em_eventos>[congresso]	publicacoes_em_eventos	2	congresso	2	2024-01-02 13:41:24.227359
3	<eventos>[convenção]	eventos	11	convenção	3	2024-01-02 13:41:24.227359
4	<eventos>[evento]	eventos	11	evento	4	2024-01-02 13:41:24.227359
5	<eventos>[extensão]	eventos	11	extensão	5	2024-01-02 13:41:24.227359
6	<eventos>[fórum]	eventos	11	fórum	6	2024-01-02 13:41:24.227359
7	<eventos>[oficina]	eventos	11	oficina	7	2024-01-02 13:41:24.227359
8	<publicacoes_em_periodicos>[periódico]	publicacoes_em_periodicos	1	periódico	8	2024-01-02 13:41:24.227359
9	<editoracoes>[produção editorial]	editoracoes	15	produção editorial	9	2024-01-02 13:41:24.227359
10	<propriedades_intelectuais>[INPI]	propriedades_intelectuais	6	INPI	10	2024-01-02 13:41:24.227359
11	<documentos>[SEI]	documentos	5	SEI	11	2024-01-02 13:41:24.227359
12	<redes_sociais>[Youtube]	redes_sociais	14	Youtube	12	2024-01-02 13:41:24.227359
13	<redes_sociais>[X]	redes_sociais	14	X	13	2024-01-02 13:41:24.227359
14	<redes_sociais>[Facebook]	redes_sociais	14	Facebook	14	2024-01-02 13:41:24.227359
15	<redes_sociais>[Instagram]	redes_sociais	14	Instagram	15	2024-01-02 13:41:24.227359
16	<redes_sociais>[SouGov]	redes_sociais	14	SouGov	16	2024-01-02 13:41:24.227359
17	<redes_sociais>[TikTok]	redes_sociais	14	TikTok	17	2024-01-02 13:41:24.227359
18	<redes_sociais>[Kawai]	redes_sociais	14	Kawai	18	2024-01-02 13:41:24.227359
19	<redes_sociais>[WhatsApp]	redes_sociais	14	WhatsApp	19	2024-01-02 13:41:24.227359
20	<redes_sociais>[SMS]	redes_sociais	14	SMS	20	2024-01-02 13:41:24.227359
21	<redes_sociais>[Telegram]	redes_sociais	14	Telegram	21	2024-01-02 13:41:24.227359
22	<imprensa>[jornal]	imprensa	12	jornal	22	2024-01-02 13:41:24.227359
